Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
no,Games and Routines,82.1,81.8,76.2,87.7,86.2,94.4,91.7,97.6,96.3,97.3,96.2,95.1,94.8,98.3,100
cookie,Food and Drink,59,66.7,58.7,82.2,78.7,86.1,81.9,96.5,82.2,96,92.3,93.8,94.8,98.3,100
bath,Games and Routines,43.6,57.6,48.7,67.1,68.1,77.8,83.3,89.4,81.3,89.3,93.6,95.1,91.4,91.7,100
please,Games and Routines,32.1,39.4,40,56.2,70.2,77.8,79.2,88.2,90.7,88,91,95.1,98.3,96.7,100
yes,Games and Routines,37.2,42.4,48.7,63,75.5,76.4,79.2,84.7,91.6,90.7,91,95.1,91.4,95,100
balloon,Toys,59,48.5,71.2,76.7,73.4,86.1,86.1,94.1,86,94.7,89.7,95.1,94.8,96.7,100
bubbles,Toys,42.3,47,56.2,65.8,72.3,77.8,76.4,88.2,84.1,88,87.2,93.8,91.4,91.7,100
cheese,Food and Drink,44.9,50,61.2,68.5,76.6,79.2,81.9,91.8,84.1,92,91,95.1,91.4,95,100
pants,Clothing,19.2,12.1,18.8,43.8,40.4,55.6,58.3,74.1,70.1,80,78.2,85.2,89.7,90,100
sock,Clothing,43.6,50,58.7,71.2,72.3,81.9,80.6,92.9,82.2,92,91,95.1,93.1,95,100
keys,Small Household Items,41,53,48.7,74,73.4,77.8,83.3,91.8,83.2,90.7,92.3,96.3,96.6,96.7,100
door,Furniture and Rooms,28.2,28.8,36.2,52.1,59.6,65.3,76.4,77.6,76.6,90.7,83.3,93.8,91.4,88.3,100
baby,People,66.7,80.3,75,83.6,87.2,90.3,90.3,96.5,90.7,97.3,96.2,92.6,96.6,95,100
ball,Toys,84.6,86.4,87.5,94.5,96.8,98.6,95.8,97.6,91.6,98.7,97.4,98.8,96.6,100,100
go,Action Words,32.1,37.9,40,52.1,70.2,75,70.8,88.2,81.3,88,89.7,88.9,86.2,90,100
cold,Descriptive Words,24.4,24.2,30,53.4,55.3,68.1,73.6,82.4,73.8,85.3,80.8,90.1,89.7,93.3,100
nose,Body Parts,55.1,56.1,62.5,80.8,81.9,87.5,88.9,95.3,85,96,91,98.8,96.6,96.7,100
light,Small Household Items,35.9,30.3,46.2,47.9,68.1,68.1,81.9,83.5,74.8,86.7,84.6,90.1,94.8,90,100
water (item),Outside Things,34.6,34.8,43.7,65.8,71.3,73.6,76.4,85.9,81.3,90.7,83.3,96.3,91.4,91.7,100
eat,Action Words,34.6,25.8,40,60.3,54.3,72.2,73.6,83.5,79.4,90.7,85.9,93.8,91.4,95,100
juice,Food and Drink,59,51.5,61.2,78.1,81.9,87.5,88.9,96.5,87.9,90.7,96.2,97.5,94.8,95,100
milk,Food and Drink,42.3,43.9,46.2,72.6,66,75,77.8,90.6,81.3,92,92.3,96.3,96.6,98.3,100
arm,Body Parts,12.8,24.2,22.5,42.5,46.8,56.9,68.1,81.2,68.2,76,79.5,86.4,91.4,90,100
foot,Body Parts,26.9,34.8,41.2,58.9,62.8,70.8,69.4,87.1,78.5,90.7,85.9,96.3,91.4,93.3,100
soap,Small Household Items,15.4,15.2,21.3,43.8,51.1,59.7,59.7,71.8,73.8,81.3,71.8,88.9,82.8,88.3,100
grandma,People,42.3,48.5,56.2,65.8,70.2,72.2,79.2,94.1,86,92,92.3,95.1,93.1,95,98.6
thank you,Games and Routines,44.9,48.5,50,60.3,66,77.8,79.2,82.4,85,88,92.3,96.3,96.6,95,98.6
car,Vehicles (Real or Toy),52.6,56.1,62.5,83.6,79.8,84.7,88.9,94.1,84.1,94.7,89.7,95.1,96.6,98.3,98.6
apple,Food and Drink,38.5,51.5,61.2,74,74.5,79.2,88.9,90.6,84.1,93.3,89.7,97.5,94.8,98.3,98.6
wet,Descriptive Words,16.7,13.6,22.5,39.7,44.7,54.2,62.5,69.4,67.3,77.3,79.5,90.1,87.9,86.7,98.6
telephone,Small Household Items,26.9,18.2,26.3,46.6,53.2,61.1,70.8,76.5,70.1,88,83.3,88.9,91.4,93.3,98.6
bed,Furniture and Rooms,15.4,21.2,28.8,49.3,56.4,61.1,68.1,83.5,77.6,89.3,82.1,93.8,94.8,91.7,98.6
daddy,People,97.4,98.5,96.2,97.3,98.9,97.2,94.4,98.8,96.3,98.7,98.7,98.8,98.3,100,98.6
horse,Animals (Real or Toy),30.8,34.8,41.2,57.5,56.4,69.4,70.8,81.2,82.2,85.3,91,92.6,93.1,93.3,98.6
walk,Action Words,15.4,15.2,30,39.7,36.2,50,59.7,69.4,62.6,73.3,71.8,85.2,79.3,88.3,98.6
hot,Descriptive Words,62.8,71.2,70,76.7,81.9,90.3,93.1,90.6,87.9,89.3,96.2,95.1,93.1,96.7,98.6
eye,Body Parts,57.7,71.2,73.7,86.3,85.1,91.7,93.1,96.5,91.6,97.3,94.9,98.8,96.6,100,98.6
hair,Body Parts,32.1,28.8,35,61.6,69.1,81.9,79.2,94.1,80.4,88,87.2,95.1,93.1,95,98.6
toe,Body Parts,24.4,34.8,36.2,57.5,50,62.5,66.7,80,74.8,78.7,79.5,92.6,89.7,86.7,98.6
cup,Small Household Items,32.1,33.3,45,63,68.1,66.7,80.6,87.1,79.4,90.7,89.7,95.1,93.1,88.3,98.6
pillow,Small Household Items,16.7,16.7,22.5,38.4,47.9,50,56.9,81.2,58.9,81.3,75.6,82.7,87.9,90,98.6
bathtub,Furniture and Rooms,15.4,21.2,28.8,37,44.7,47.2,59.7,71.8,63.6,74.7,80.8,84,81,83.3,98.6
outside,Places to Go,39.7,37.9,40,65.8,66,69.4,76.4,87.1,72.9,86.7,87.2,91.4,86.2,90,98.6
bird,Animals (Real or Toy),56.4,65.2,67.5,79.5,80.9,81.9,87.5,89.4,89.7,96,94.9,93.8,96.6,96.7,98.6
book,Toys,57.7,63.6,66.2,91.8,81.9,87.5,80.6,96.5,89.7,93.3,91,96.3,96.6,93.3,98.6
fall,Action Words,16.7,4.5,13.8,30.1,29.8,47.2,55.6,70.6,60.7,80,80.8,85.2,87.9,83.3,98.6
banana,Food and Drink,47.4,65.2,65,69.9,73.4,87.5,87.5,91.8,75.7,90.7,85.9,97.5,96.6,95,98.6
hug,Action Words,21.8,15.2,23.8,38.4,40.4,59.7,58.3,76.5,64.5,81.3,79.5,86.4,84.5,91.7,98.6
